AGENCY,DATE,DESTINATION,PAX,TYPE,COST,STATUS
BAYVIEW,02/24/2023,DROP OFF AIRPORT,4,PRIVATE,1000,
BAYVIEW,02/24/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
BAYVIEW,02/24/2023,PICK UP AIRPORT,4,PRIVATE,1000,
BAYVIEW,02/24/2023,EN - PPC,2,SHARED,1000,
FRENDZ,02/24/2023,EN - PPC,2,SHARED,1000,
FRENDZ,02/24/2023,EN - PPC,3,SHARED,1500,
FRENDZ,02/24/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/24/2023,EN - PPC,3,SHARED,1500,
ST. JOHN,02/24/2023,PPC - EN,7,SHARED,3850,
TARAWIS,02/24/2023,EN - PPC,1,SHARED,450,
BAYVIEW,02/24/2023,PICK UP AIRPORT,3,PRIVATE,1000,
BAYVIEW,02/24/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
BAYVIEW,02/24/2023,EN - PPC,2,SHARED,1000,
FRENDZ,02/24/2023,EN - PPC,3,SHARED,1500,
FRENDZ,02/24/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/24/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/24/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/24/2023,EN - PPC,2,SHARED,1000,
ST. JOHN,02/24/2023,EN - PPC,3,SHARED,1650,
ST. JOHN,02/25/2023,EN - PPC,2,SHARED,1650,
ST. JOHN,02/25/2023,EN - PPC,2,SHARED,1100,
CORAZON,02/25/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
TARAWIS,02/25/2023,PICK UP AIRPORT,7,PRIVATE,900,FORFIETED
BAYVIEW,02/25/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
BAYVIEW,02/25/2023,DROP OFF AIRPORT,4,PRIVATE,1000,
BAYVIEW,02/25/2023,EN - PPC,4,PRIVATE,2000,
BAYVIEW,02/25/2023,EN - PPC,5,SHARED,2500,
FRENDZ,02/25/2023,PPC - EN,3,SHARED,1350,
FRENDZ,02/25/2023,EN - PPC,2,SHARED,1000,
FRENDZ,02/25/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/25/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/25/2023,EN - PPC,4,SHARED,2000,
FRENDZ,02/25/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/26/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/26/2023,EN - PPC,1,SHARED,500,
FRENDZ,02/26/2023,EN - PPC,2,SHARED,1000,
TERRA SANCTA,02/26/2023,PPC - EN,2,PRIVATE,2000,
ST. JOHN,02/26/2023,EN - PPC,2,SHARED,1100,
CORAZON,02/26/2023,PPC - EN,4,SHARED,2600,
BAYVIEW,02/26/2023,EN - PPC,2,PRIVATE,5000,
BAYVIEW,02/26/2023,PPC - EN,2,PRIVATE,5000,
FRENDZ,02/26/2023,EN - PPC,2,SHARED,1000,
TERRA SANCTA,02/26/2023,DROP OFF AIRPORT,2,SHARED,1000,
ST. JOHN,02/27/2023,PPC - EN,9,PRIVATE,6000,
ST. JOHN,02/27/2023,PPC - EN,9,SHARED,4950,
ST. JOHN,02/27/2023,PORT BARTON,2,SHARED,1100,
