DATE,DESTINATION,PAX,AMOUNT,TOTAL,AGENCY
09/05/2023,PPC-EN,10,4700,1000,JOSEPH
10/05/2023,EN-JOINER,6,500,3000,MILAN
10/05/2023,PPC-EN,2,500,1000,CORAZON TRAVEL AND TOURS
10/05/2023,EN-PPC,2,450,900,ROLANDO aka INSTEK
10/05/2023,PPC-EN,5,500,2500,MILAN
10/05/2023,EN-PPC,4,500,2000,MILAN
10/05/2023,PPC-EN,4,500,2000,MILAN
10/05/2023,EN-PPC,2,500,1000,MILAN
10/05/2023,INLAND TOUR,2,500,1000,MILAN
10/05/2023,LALLY ABET,1,500,500,FRENDZ
10/05/2023,PPC-EN,2,PRIVATE,1000,BAYVIEW
10/05/2023,EN-PPC,2,500,1000,CASA HENERAL
11/05/2023,CORAZON,6+1,PRIVATE,4000,ELNIDO BAYVIEW RESORT
11/05/2023,DROP ITI,7,PRIVATE,1000,MILAN
11/05/2023,EN-PRIVATE,6,5000,,BOGS
11/05/2023,DROP ITI,4,PRIVATE,1000,BAYVIEW
11/05/2023,EN-PPC,2,500,1000,FRENDZ
11/05/2023,EN-PPC,2,500,1000,FRENDZ
11/05/2023,EN-PPC,6,500,3000,MILAN
11/05/2023,EN-PPC,3,500,1500,MILAN
11/05/2023,PICK ITI,19,PRIVATE,10000,MILAN
11/05/2023,PPC-PRIVATE,3,500,1500,ROCK VIEW
11/05/2023,DROP ITI,2,450,900,MARVIN 
11/05/2023,EN-PPC,11+1,5500,5580,BOGS
12/05/2023,TOUR D (PRIVATE),2,1200,300,VELLAGO
12/05/2023,PPC-EN,12+2,PRIVATE,5000,MILAN
12/05/2023,VINCENT,4,PRIVATE,4500,PASAKAY NI VINCENT
12/05/2023,,,,,FHERL TO TRIPI
12/05/2023,EN-PPC,2,500,1000,MILAN
12/05/2023,PPC-EN,3,500,1500,MILAN
12/05/2023,EN-PPC,2,500,1000,MILAN
12/05/2023,EN-PPC,3,500,1500,MILAN
12/05/2023,DROP ITI,2,5000,4900,JUN BURNET
12/05/2023,PPC-JOINER,2,500,1000,MILAN
01/06/2023,INLAND TOUR,2,450,900,JHEOFREY TO FHERL
01/06/2023,,,,3768,CORAZON TRAVEL AND TOURS
01/06/2023,DROP ITI,2,PRIVATE,1000,BAYVIEW
01/06/2023,PICK ITI,3,PRIVATE,1000,DOUBLEGEM
01/06/2023,PPC-EN,2,500,1000,DOUBLEGEM
01/06/2023,DROP ITI,2,1200,300,VELLAGO
01/06/2023,PPC-EN,3,500,1500,MILAN
01/06/2023,2 ITI,08-Jan,2000,,BOGS
01/06/2023,EN-PRIVATE,2,5000,,BOGS
01/06/2023,PPC-EN,4,500,2000,MILAN
01/06/2023,EN-PPC,5,500,2500,MILAN
01/06/2023,EN-PPC,2,8500,5800,JOSEPH
01/06/2023,EN-PPC,2,500,1000,DOUBLEGEM
01/06/2023,DROP ITI,13,6500,,ARMAN
02/06/2023,PPC-PRIVATE,6,500,3000,MILAN
02/06/2023,SAN VICENTE,2,550,1100, ST.JOHN
02/06/2023,DALUYON -KARUNA,4,PRIVATE,7500,CORAZON TRAVEL AND TOURS
02/06/2023,LIME-H.HOTEL,7 VANS,PRIVATE,1200,FHERL
02/06/2023,PICK ITI,2,PRIVATE,1000,BAYVIEW
02/06/2023,EN-PPC,2,450,900,ROLANDO aka INSTEK
02/06/2023,MILAN,2,450,900,GFS TRAVELISTA
02/06/2023,PPC-EN,4+1,PRIVATE,5000,MILAN
02/06/2023,LIME-H HOTEL,7 VANS,600,,BOGS
02/06/2023,EN-JOINER,9,4450,,BOGS
02/06/2023,PPC-PRIVATE,4,7500,5750,ARMAN
02/06/2023,PETRON-LIME,7 VANS,600,,ARMAN
02/06/2023,EN-JOINER,7,3100,,JOSEPH
02/06/2023,PPC-PRIVATE,4+1,5000,13250,JOSEPH
02/06/2023,PPC-PRIVATE,7+1,5000,,DA ROCK
02/06/2023,EN-PPC,2,500,1000,FRENDZ
02/06/2023,PPC-EN,5,500,2500,MILAN
02/06/2023,EN-PPC,1,500,500,MILAN
02/06/2023,EN-PPC,12,PRIVATE,5000,MILAN
02/06/2023,EN-PBARTON,3,450,1350,PASAKAY NI VINCENT
02/06/2023,VELLAGO,2,450,900,FHERL 
02/06/2023,PPC-EN,2,450,900,ROLANDO aka INSTEK
02/06/2023,CABIGSING,2,5000,,ARMAN
03/06/2023,PPC-JOINER,8,500,4000,MILAN
03/06/2023,PPC-EN,6,450,2700,ONE EL NIDO SUITE
04/06/2023,PPC-EN,2,500,1000,CASA HENERAL
05/06/2023,EN-PPC,2,550,1100,THUMPS UP
05/06/2023,EN-PPC,2,500,1000,FRENDZ
05/06/2023,EN-PPC,3,500,1500,MILAN
05/06/2023,EN-PPC,4,500,2000,MILAN
06/06/2023,PPC-EN,1,500,500,THUMPS UP
06/06/2023,DROP-ITI,2,1200,300,VELLAGO
06/06/2023,TOUR A,2,,3100,CORAZON TRAVEL AND TOURS
06/06/2023,TOUR A,1,,,CORAZON TRAVEL AND TOURS
06/06/2023,EN-PPC,2,500,1000,MILAN
06/06/2023,PICK ITI,2,charge-900,,VELLAGO
06/06/2023,PPC-EN,2,500,1000,CORAZON TRAVEL AND TOURS
06/06/2023,BAYVIEW,3,,4500,CORAZON TRAVEL AND TOURS
07/06/2023,EN-PPC,2,450,900,GFS TRAVELISTA
07/06/2023,PICK ITI,6,PRIVATE,5000,MILAN
07/06/2023,DROP ITI,14,PRIVATE,1000,ELNIDO BAYVIEW RESORT
07/06/2023,PPC-EN,2,450,900,GFS TO MAYMAY
07/06/2023,EN-PPC,2,500,1000,MILAN
07/06/2023,EN-PPC,2,500,1000,MILAN
07/06/2023,DROP ITI,1,500,500,FRENDZ
07/06/2023,PPC-EN,7,500,3500,MILAN
08/06/2023,EN-PPC,2,1200,300,VELLAGO
