DATE,DESTINATION,PAX,AMOUNT,TOTAL,AGENCY
01/01/2023,EN-PPC,6,PRIVATE,4500,PASAKAY NI VINCENT
01/01/2023,EN-PPC,2,500,1000,DOUBLEGEM
01/01/2023,DROP ITI,2,1200,300,VELLAGO
01/01/2023,PPC-EN,2,500,1000,MILAN
01/01/2023,ITI,2,1000,,BOGS
01/01/2023,EN-JOINER,13,6100,,BOGS
01/01/2023,EN-JOINER,10,4500,,ARMAN
01/01/2023,PPC-PRIVATE,6,4500,9105,JOSEPH
01/01/2023,EN-JOINER,11,5000,,JOSEPH
01/01/2023,INLAND TOUR,2,450,900,GFS TO MAYMAY
01/01/2023,DROP ITI,2,500,1000,ONE EL NIDO SUITE
01/01/2023,DROP ITI,1,450,450,GFS TO ALEXIS
01/01/2023,EN-PPC,2,1200,300,VELLAGO
01/01/2023,EN-PPC,2,PRIVATE,2000,VELLAGO
01/01/2023,DROP ITI,5,PRIVATE,1000,BAYVIEW
01/01/2023,VINCENT,2,450,900,PASAKAY NI VINCENT
01/01/2023,MILAN,2,450,900,GFS TRAVELISTA
01/01/2023,TO PORT,4,PRIVATE,600,DOUBLEGEM
01/01/2023,PPC-EN,2,500,1000,MILAN
01/01/2023,EN-PRIVATE,11,5800,,BOGS
01/01/2023,EN-JOINER,11,5400,,ARMAN
01/01/2023,EN-PPC,1,500,500,FRENDZ
01/01/2023,PPC-EN,1(2 seats),500,1000,BAYVIEW
01/01/2023,PPC-JURIAS,2,450,900,RONEL
01/01/2023,FRENDZ,1,450,450,FHERL
01/01/2023,MILAN,2,450,900,GFS TRAVELISTA
01/01/2023,DROP ITI,2,1200,300,VELLAGO
01/01/2023,PPC-EN,12+1,PRIVATE,5000,MILAN
01/01/2023,PPC-PRIVATE,12+1,5000,5050,BOGS
01/01/2023,EN-JOINER,13,4800,,ARMAN
01/01/2023,PPC-JOINER,12,5900,5770,ARMAN
01/01/2023,FRENDZ,1,450,450,MARK
02/01/2023,NNAY ASTER,3,PRIVATE,5500,ONE EL NIDO SUITE
02/01/2023,OFFICE-SEDA,3,PRIVATE,900,TARAWIS
02/01/2023,MILAN,7,450,3150,FHERL
02/01/2023,PICK ITI,2,PRIVATE,1000,BAYVIEW
02/01/2023,PPC-EN,2,450,900,ROLANDO aka INSTEK
02/01/2023,FRENDZ,1,450,450,FHERL
02/01/2023,DROP ITI,1,charge-900,,VELLAGO
02/01/2023,PPC-EN,4,500,2000,MILAN
02/01/2023,PPC-PRIVATE,8,5500,5600,BOGS
02/01/2023,PPC-PRIVATE,8,5500,5720,ARMAN
02/01/2023,PPC-JOINER,13,6500,5210,JOSEPH
02/01/2023,EN-PRIVATE,3,5500,,JOSEPH
02/01/2023,DROP ITI,2,1200,300,VELLAGO
02/01/2023,FRENDZ,1,450,450,FHERL 
02/01/2023,PPC-EN,,1500,,ARMAN
02/01/2023,TRANSFER,8,PRIVATE,5500, ST.JOHN
02/01/2023,EN-PPC,6,550,3300,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,PPC-EN,7,PRIVATE,5500,CORAZON TRAVEL AND TOURS
02/01/2023,DROP ITI,2,PRIVATE,900,TARAWIS
02/01/2023,DROP ITI,4,PRIVATE,1000,BAYVIEW
02/01/2023,FRENDZ,1,450,450,FHERL
02/01/2023,EN-PPC,1,500,500,FRENDZ
02/01/2023,MILAN,2,450,900,FHERL
02/01/2023,PPC-EN,2,500,1000,DOUBLEGEM
02/01/2023,DROP ITI,2,1200,300,VELLAGO
02/01/2023,PPC-EN,2,500,1000,MILAN
02/01/2023,PPC-PRIVATE,7,5500,5550,JOSEPH
02/01/2023,PPC-JOINER,12,6000,4573,DA ROCK
02/01/2023,ITI,2,900,,DA ROCK
02/01/2023,EN-PRIVATE,6,5500,,DA ROCK
02/01/2023,PPC-JOINER,12,6000,5520,ARMAN
02/01/2023,EN-JOINER,9,4800,,ARMAN
02/01/2023,EN-PBARTON,6+1,500,3500,MILAN
02/01/2023,EN-PPC,2,550,1100, ST.JOHN
02/01/2023,PICK ITI,2,PRIVATE,1000,CORAZON TRAVEL AND TOURS
02/01/2023,DROP ITI,2,PRIVATE,900,TARAWIS
02/01/2023,DROP ITI,2,PRIVATE,1000,BAYVIEW
02/01/2023,MALIGAYA,2,450,900,RONEL
02/01/2023,EN-PPC,1,500,500,FRENDZ
02/01/2023,PPC-EN,8,450,3600,PASAKAY NI VINCENT
02/01/2023,PICK ITI,2,1200,300,VELLAGO
02/01/2023,LA CASA TERESA-MILAN,15,PRIVATE,700,MILAN
02/01/2023,TRANSFER,15,500,,JOSEPH
02/01/2023,EN-JOINER,13,6300,,JOSEPH
02/01/2023,PPC-PRIVATE,11,5400,4555,DA ROCK
02/01/2023,PPC-JOINER,3+1,500,1500,MILAN
02/01/2023,EN-PPC,2,500,1000,ONE EL NIDO SUITE
02/01/2023,PPC-EN,4,PRIVATE,5000,CORAZON TRAVEL AND TOURS
02/01/2023,MILAN,6,450,2700,FHERL
02/01/2023,DROP ITI,4,PRIVATE,1000,BAYVIEW
02/01/2023,DOUBLEGEM,2,450,900,FHERL TO ANSLEY
02/01/2023,EN-PPC,4,450,1800,ROLANDO aka INSTEK
02/01/2023,EN-PPC,2,500,1000,FRENDZ
02/01/2023,CORAZON,2,450,900,FHERL
02/01/2023,DROP ITI,2,PRIVATE,1000,DOUBLEGEM
02/01/2023,PPC-EN,7,500,3500,MILAN
02/01/2023,EN-JOINER,06-Jan,2800,,JOSEPH
02/01/2023,EN-JOINER,12,6000,,JOSEPH
02/01/2023,PPC-PRIVATE,8,5500,5350,JOSEPH
02/01/2023,PPC-PRIVATE,2,5000,4455,DA ROCK
02/01/2023,PPC-PRIVATE,4,5000,4900,ARMAN
02/01/2023,EN-PRIVATE,2,5000,,ARMAN
02/01/2023,DROP ITI,12,PRIVATE,5000,MILAN
02/01/2023,EN-PPC,8,PRIVATE,5500, ST.JOHN
02/01/2023,PPC-EN (PREV.),2,500,1000,ONE EL NIDO SUITE
02/01/2023,PPC-EN,2,500,1000,ONE EL NIDO SUITE
02/01/2023,PPS-EN,4,550,2200,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,LIO-ISLAND HOP INN,2,1000,1000,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,PPC-UR-EN,5,PRIVATE,8000,CORAZON TRAVEL AND TOURS
02/01/2023,PPC-EN,6,PRIVATE,5000,ROCK VIEW
02/01/2023,EN-PPC,4,500,2000,TROPICAL TRAVEL AND TOURS 
02/01/2023,PPC-EN,2,PRIVATE,5000,BAYVIEW
02/01/2023,MCDO,4,450,1800,FHERL TO ANSLEY
02/01/2023,FRENDZ,3,450,1350,FHERL
02/01/2023,EN-PPC,6,500,3000,FRENDZ
02/01/2023,DROP ITI,2,1200,300,VELLAGO
02/01/2023,FRENDZ,2,450,900,FHERL 
02/01/2023,PPC-EN,2,500,1000,MILAN
02/01/2023,EN-JOINER,11,5500,,JOSEPH
02/01/2023,PPC-PRIVATE,14,PRIVATE,3500,ELNIDO BAYVIEW RESORT
02/01/2023,PPC-EN,4,500,2000,MILAN
02/01/2023,PPC-JOINER,12+2,6500,5420,ARMAN
02/01/2023,EN-PPC,2,1100,2200,DA ROCK
02/01/2023,PPC-EN,2,450,900,FHERL TO MARVIN
02/01/2023,,2,500,1000,ONE EL NIDO SUITE
02/01/2023,TOUR A,4,900,3600,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,TOUR A,2,900,1800,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,PICK ITI,4,PRIVATE,1000,CORAZON TRAVEL AND TOURS
02/01/2023,PPC-EN,8,PRIVATE,5000,TARAWIS
02/01/2023,MILAN,6+1,450,2700,FHERL
02/01/2023,PPC-EN,18+2,PRIVATE,11000,ROCK VIEW
02/01/2023,PICK ITI,4,PRIVATE,1000,BAYVIEW
02/01/2023,PPC-EN,1,500,500,FRENDZ
02/01/2023,ATE PRECY,3,450,1350,FHERL
02/01/2023,DROP ITI,2,1200,300,VELLAGO
02/01/2023,ONE EL NIDO,2,450,900,FHERL 
02/01/2023,PPC-EN,3,500,1500,TROPICAL TRAVEL AND TOURS 
02/01/2023,PPC-EN,2,500,1000,ONE EL NIDO SUITE
02/01/2023,UR,2,7000,2000,VELLAGO
02/01/2023,PPC-EN,2,500,1000,MILAN
02/01/2023,EN-PPC,2,500,1000,MILAN
02/01/2023,EN -PPC,3,550,1650, ST.JOHN
02/01/2023,EN-PPC,2,500,1000,ONE EL NIDO SUITE
02/01/2023,AIRPORT-REMA,6,1000,1000,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,PPC-EN,2,PRIVATE,5000,CORAZON TRAVEL AND TOURS
02/01/2023,PPC-EN,6,500,3000,ROCK VIEW
02/01/2023,EN-PPC,12,PRIVATE,6000,BAYVIEW
02/01/2023,PPC-LOFT VILLA,2,PRIVATE,4500,RONEL
02/01/2023,MILAN,2,450,900,GFS TRAVELISTA
02/01/2023,DROP ITI,2,charge-900,,VELLAGO
02/01/2023,PPC-EN,4,500,2000,MILAN
02/01/2023,EN-JOINER,8,3950,,DA ROCK
02/01/2023,PPC-PRIVATE,2,4500,4450,DA ROCK
02/01/2023,PPC-PRIVATE,3,550,1650, ST.JOHN
02/01/2023,PORT BARTON,2,600,1200,ONE EL NIDO SUITE
02/01/2023,PPC-EN,6,PRIVATE,5000,CORAZON TRAVEL AND TOURS
02/01/2023,PICK ITI,2,PRIVATE,1000,BAYVIEW
02/01/2023,EN-PPC,4,450,1800,ROLANDO aka INSTEK
02/01/2023,ELAIN,2,450,900,GFS TRAVELISTA
02/01/2023,PICK ITI,2,1200,300,VELLAGO
02/01/2023,EN-PPC,4,500,2000,MILAN
02/01/2023,EN-JOINER,9,4350,,ARMAN
02/01/2023,EN-JOINER,8,4150,,JOSEPH
03/01/2023,PPC-PRIVATE,1,550,550, ST.JOHN
03/01/2023,DALUYON-LIO,2,PRIVATE,8500,CORAZON TRAVEL AND TOURS
03/01/2023,DROP ITI,2,PRIVATE,1000,BAYVIEW
03/01/2023,FRENDZ,2,450,900,FHERL TO ANSLEY
03/01/2023,PPC-EN,3,500,1500,FRENDZ
03/01/2023,ST JOHN,1,450,450,FHERL
03/01/2023,DROP ITI,2,1200,300,VELLAGO
03/01/2023,D ONLY P.,2,450,900,FHERL 
03/01/2023,PPC-EN,2,500,1000,MILAN
03/01/2023,EN-PPC,2,500,1000,RICOS
03/01/2023,PPC-PRIVATE,2,8500,,JUN BURNET
03/01/2023,EN-JOINER,12,5900,,ARMAN
03/01/2023,EN-PRIVATE,4,4500,,JOSEPH
03/01/2023,DROP ITI,6,PRIVATE,1000,CORAZON TRAVEL AND TOURS
03/01/2023,EN-PPC,1,500,500,FRENDZ
03/01/2023,EN-PPC,2,500,1000,MILAN
03/01/2023,PPC-EN,3,500,1500,MILAN
03/01/2023,PPC-EN,2+1,500,1000,MILAN
03/01/2023,EN-PPC,2,500,,ARMAN
03/01/2023,EN-PRIVATE,2,500,1000,MILAN
03/01/2023,ENVI/LAGGON FEE,2,550,1100,THUMPS UP
03/01/2023,EN-PPC,2,500,1000,MILAN
03/01/2023,EN-PPC,2,500,1000,MILAN
03/01/2023,EN-PPC,2,500,1000,MILAN
03/01/2023,EN-PPC,2,500,1000,MILAN
03/01/2023,EN-PPC,10,4500,4940,ARMAN
03/01/2023,EN-PRIVATE,5,5500,,ARMAN
03/01/2023,EN-ROXAS,2,350,700,THUMPS UP
03/01/2023,PPC-EN,2,450,900,GFS TO MAYMAY
03/01/2023,EN-PPC,6+1,PRIVATE,1200,MILAN
03/01/2023,PPC-EN,2,500,1000,MILAN
03/01/2023,PPC-EN,2,500,1000,DOUBLEGEM
03/01/2023,EN-PPC,9,PRIVATE,1000,THUMPS UP
03/01/2023,EN-PPC,2,550,1100, ST.JOHN
03/01/2023,EN-PPC,1,500,500,ELNIDO BAYVIEW RESORT
03/01/2023,FRENDZ,3,450,1350,FHERL TO TRIPI
04/01/2023,EN-PPC,2,450,900,JHEOFREY TO FHERL
04/01/2023,PICK ITI,5,PRIVATE,1000,BAYVIEW
04/01/2023,EN-PPC,1,500,500,FRENDZ
04/01/2023,PORT BARTON,2,600,1200,DOUBLEGEM
04/01/2023,PICK ITI,2,400,800,DMC TRAVCON TRAVEL AND TOURS
04/01/2023,PPC-EN,2,500,1000,CORAZON TRAVEL AND TOURS
04/01/2023,EN-PPC,3,500,1500,FRENDZ
04/01/2023,MILAN,2,450,900,GFS TRAVELISTA
04/01/2023,DROP ITI,2,1200,300,VELLAGO
04/01/2023,PPC-EN,2,500,1000,MILAN
04/01/2023,EN-PPC,1,500,500,MILAN
04/01/2023,EN-PPC,4,500,2000,MILAN
04/01/2023,EN-PPC,2,500,1000,MILAN
04/01/2023,DROP ITI,2,500,1000,THUMPS UP
04/01/2023,EN-PPC,1,500,500,FRENDZ
04/01/2023,PPC-EN,2,600,1200,PASAKAY NI VINCENT
04/01/2023,EN-PPC,2,500,1000,MILAN
04/01/2023,EN-PPC,4,500,2000,MILAN
04/01/2023,EN-PPC,2,500,1000,MILAN
04/01/2023,EN-PPC,6,500,3000,MILAN
04/01/2023,EN-PPC,8,500,4000,MILAN
04/01/2023,PORT-STUNNING,7,PRIVATE,600,CORAZON TRAVEL AND TOURS
04/01/2023,EN-PPC,2,PRIVATE,5000,BAYVIEW
04/01/2023,EN-PPC,2,500,1000,FRENDZ
04/01/2023,PPC-EN,7+1,PRIVATE,1200,BAYVIEW
04/01/2023,VINCENT,3,450,1350,PASAKAY NI VINCENT
04/01/2023,EN-PPC,6,500,3000,MILAN
04/01/2023,MILAN,2,450,900,FHERL
04/01/2023,PICK ITI,2,1200,300,VELLAGO
04/01/2023,EN-PPC,2,500,1000,MILAN
04/01/2023,EN-PPC,6,5000,5050,DA ROCK
04/01/2023,PPC WT UR-PRIVATE,5,8000,5800,ARMAN
04/01/2023,EN-PRIVATE,7,5500,,ARMAN
04/01/2023,EN-PPC,2,500,1000,FRENDZ
04/01/2023,PICK ITI,2,1200,300,VELLAGO
04/01/2023,,2,450,900,ELME
04/01/2023,EN-PBARTON,2,500,1000,MILAN
04/01/2023,PPC-JOINER,13,6900,5550,JOSEPH
04/01/2023,2 ITI,5,2500,,JOSEPH
04/01/2023,EN-JOINER,6,3000,,JOSEPH
04/01/2023,EN-PRIVATE,2,5000,,DA ROCK
04/01/2023,PPC-PRIVATE,18+2 ( 2 VANS),5500,5825,ARMAN
04/01/2023,ISLAM.-PORT,1,500,500,CORAZON TRAVEL AND TOURS
04/01/2023,EN-PPC,3,450,1350,ELME
04/01/2023,PPC-EN,4,500,2000,MILAN
04/01/2023,EN-PPC,6,5000,4595,DA ROCK
04/01/2023,PRECY,2,450,900,GFS TRAVELISTA
04/01/2023,DROP ITI,2,500,1000,MILAN
04/01/2023,PPC-EN,2,500,1000,THUMPS UP
04/01/2023,PPC-EN,4,500,2000,MILAN
05/01/2023,PPC-EN,2,1200,300,VELLAGO
05/01/2023,EN-PPC,2,500,1000,CORAZON TRAVEL AND TOURS
05/01/2023,EN-PPC,4,500,2000,MILAN
05/01/2023,PPC-EN,2,1200,300,VELLAGO
05/01/2023,PICK ITI,2,PRIVATE,1000,BAYVIEW
05/01/2023,DROP ITI,5,PRIVATE,1000,DOUBLEGEM
05/01/2023,PPC-EN,2,7000,2000,VELLAGO
05/01/2023,DROP ITI,2,1200,300,VELLAGO
05/01/2023,EN-PPC,2,500,1000,MILAN
05/01/2023,PPC-EN,2,500,1000,MILAN
05/01/2023,EN-PPC,9+1,500,4500,MILAN
05/01/2023,EN-PPC,8,500,4000,MILAN
05/01/2023,DROP ITI,2,450,900,JHEOFREY TO FHERL
05/01/2023,PPC-EN,2,500,1000,WE GO TRAVEL AND TOURS
05/01/2023,EN-PPC,5+2,500,3000,THUMPS UP
05/01/2023,DROP ITI,2,1200,300,VELLAGO
05/01/2023,PPC-EN,6,500,3000,MILAN
05/01/2023,EN-PPC,2,500,1000,MILAN
05/01/2023,INLAND TOUR,4,PRIVATE,4000,MILAN
05/01/2023,DROP ITI,2,PRIVATE,1000,BAYVIEW
05/01/2023,PICK ITI,2,PRIVATE,500,BAYVIEW
05/01/2023,EN-PPC,2,500,1000,BAYVIEW
05/01/2023,PPC-EN,5+2,500,3000,MILAN
05/01/2023,EN-PPC,1,500,500,MILAN
05/01/2023,EN-PPC,5+1,500,2500,MILAN
05/01/2023,PICK ITI,1,1200,300,VELLAGO
05/01/2023,EN-PPC,3,500,1500,FRENDZ
05/01/2023,DROP ITI,2,1200,300,VELLAGO
05/01/2023,PPC-EN,2,550,1100,THUMPS UP
05/01/2023,ONE EL NIDO,2,450,900,FHERL
05/01/2023,EN-PPC,2,500,1000,ONE EL NIDO SUITE
05/01/2023,SEDA -LIO ,4,PRIVATE,1000,CORAZON TRAVEL AND TOURS
05/01/2023,LAGUN-CUNA,12,1500,,ARMAN
05/01/2023,EN-PPC,2,500,1000,BAYVIEW
05/01/2023,EN-PPC,2,500,1000,FRENDZ
05/01/2023,EN-PPC,2,450,900,MARVIN TO FHERL
05/01/2023,EN-PPC,2,500,1000,MILAN
05/01/2023,EN-ROXAS,2,1200,300,VELLAGO
05/01/2023,PPC-EN,2,500,1000,MILAN
05/01/2023,PICK ITI,2,1200,300,VELLAGO
05/01/2023,PPC-EN,2,1200,300,VELLAGO
05/01/2023,ROBIX,2,500,1000,MILAN
05/01/2023,DROP-ITI,2,1200,300,VELLAGO
05/01/2023,EN-PPC,3,500,1500,FRENDZ
05/01/2023,EN-PPC,6,500,3000,MILAN
05/01/2023,PPC-EN,9,500,4500,MILAN
05/01/2023,DROP ITI,1,charge-900,,VELLAGO
05/01/2023,EN-PPC,2,PRIVATE,1000,CORAZON TRAVEL AND TOURS
05/01/2023,PPC-EN,5,500,2500,MILAN
05/01/2023,EN-PPC,1,500,500,MILAN
06/01/2023,DROP-ITI,4,500,2000,WE GO TRAVEL AND TOURS
06/01/2023,PICK ITI,2,1200,300,VELLAGO
06/01/2023,EN-PPC,2,500,1000,ONE EL NIDO SUITE
06/01/2023,PICK ITI,2,PRIVATE,1000,BAYVIEW
06/01/2023,EN-PPC,2,500,1000,BAYVIEW
06/01/2023,EN-PPC,4,500,2000,MILAN
06/01/2023,PPC-EN,3,500,1500,MILAN
06/01/2023,PPC-EN,2,1200,300,VELLAGO
06/01/2023,EN-PPC,5,500,2500,MILAN
06/01/2023,EN-PPC,6,PRIVATE,5000,MILAN
06/01/2023,EN-SANVIC,4,600,2400,MILAN
06/01/2023,PPC-EN,1,450,450,JHEOFREY TO FHERL
06/01/2023,EN-PPC,1,500,500,FRENDZ
06/01/2023,PPC-EN,2,500,1000,MILAN
06/01/2023,PICK ITI,2,500,1000,MILAN
06/01/2023,EN-PPC,2,500,1000,MILAN
06/01/2023,PICK ITI,2,PRIVATE,1000,BAYVIEW
06/01/2023,EN-PPC,4+1,500,2000,MILAN
06/01/2023,EN-PPC,2,500,1000,MILAN
06/01/2023,EN-PPC,7,500,3500,MILAN
06/01/2023,CHARLES-LIO,2,600,1200,FHERL TO MARVIN
06/01/2023,FRENDZ,1,450,450,FHERL TO TRIPI
06/01/2023,DROP ITI,2,1200,300,VELLAGO
06/01/2023,EN-PPC,2,PRIVATE,500,FHERL
06/01/2023,PICK ITI,2,1200,300,VELLAGO
06/01/2023,PICK ITI,2,1200,300,VELLAGO
06/01/2023,EN-PPC,2,500,1000,MILAN
06/01/2023,DROPITI,3,1200,300,VELLAGO
06/01/2023,EN-PPC,2,500,1000,FRENDZ
06/01/2023,DROP ITI,2,1200,300,VELLAGO
06/01/2023,PPC-EN,2,500,1000,MILAN
06/01/2023,DROP ITI,2,1200,300,VELLAGO
06/01/2023,ECO HOTEL,1,450,450,ELME
06/01/2023,CUNA,2,350,700,THUMPS UP
06/01/2023,PPC-EN,2,500,1000,CORAZON TRAVEL AND TOURS
06/01/2023,DROP ITI,5,PRIVATE,1000,BAYVIEW
06/01/2023,PPC-EN,4,500,2000,MILAN
06/01/2023,EN-PPC,1,500,500,MILAN
06/01/2023,PPC-EN,2,500,1000,MILAN
06/01/2023,EN-PPC,2,500,1000,BAYVIEW
06/01/2023,FRENDZ,4,450,1800,FHERL
06/01/2023,EN-PPC,4,500,2000,FRENDZ
06/01/2023,EN-PPC,2,PRIVATE,5000,DOUBLEGEM
06/01/2023,FRENDZ,6,500,3000,MILAN
06/01/2023,EN-PPC,2,1200,300,VELLAGO
06/01/2023,TRANSFER,1,500,500,FRENDZ
06/01/2023,PPC-EN,3,450,1350,ELME
06/01/2023,PPC-EN,2,500,1000,MILAN
06/01/2023,EN-PPC,3,500,1500,MILAN
06/01/2023,EN-PPC,2,500,1000,THUMPS UP
06/01/2023,DROP ITI,2,1200,300,VELLAGO
06/01/2023,PICK ITI,2,PRIVATE,1000,BAYVIEW
06/01/2023,EN-PPC,2,500,1000,MILAN
06/01/2023,EN-PPC,4,1200,300,VELLAGO
06/01/2023,PICK ITI,2,500,1000,THUMPS UP
06/01/2023,DROP ITI,1,charge-900,,VELLAGO
06/01/2023,EN-PPC,3,500,1500,FRENDZ
06/01/2023,EN-PPC,1,500,500,FRENDZ
06/01/2023,FRENDZ,2,450,900,FHERL 
07/01/2023,EN-PPC,4,500,2000,THUMPS UP
07/01/2023,TERMINAL,2,450,900,ELME
07/01/2023,PPC-EN,8,PRIVATE,5000,MILAN
07/01/2023,MARBERS-SEDA,6,PRIVATE,1000,CORAZON TRAVEL AND TOURS
07/01/2023,EN-PPC,2,500,1000,MILAN
07/01/2023,EN-PPC,5,500,2500,MILAN
07/01/2023,EN-PPC,5,500,2500,MILAN
07/01/2023,DROP ITI,2,PRIVATE,500,MILAN
07/01/2023,EN-PPC,5,500,2500,MILAN
07/01/2023,DROP ITI,4,500,2000,MILAN
07/01/2023,PICK ITI,4,PRIVATE,1000,BAYVIEW
07/01/2023,EN-PPC,2,500,1000,FRENDZ
07/01/2023,DROP ITI,2,1200,300,VELLAGO
07/01/2023,PPC-EN,2,500,1000,MILAN
07/01/2023,EN-PPC,5,charge-900,,VELLAGO
07/01/2023,PPC-EN,3+2,500,1500,MILAN
07/01/2023,PICK ITI,2,1200,300,VELLAGO
07/01/2023,EN-PPC,2,500,1000,MILAN
07/01/2023,DROP ITI,2,500,1000,BAYVIEW
07/01/2023,EN-PPC,3,500,1500,FRENDZ
07/01/2023,FRENDZ,1,450,450,GFS TRAVELISTA
07/01/2023,EN-PPC,7,500,3500,MILAN
07/01/2023,EN-PPC,2,500,1000,MILAN
07/01/2023,EN-PPC,12+1,PRIVATE,5000,MILAN
07/01/2023,EN-PPC,2,500,1000,MILAN
07/01/2023,EN-PPC,6+1,500,3500,MILAN
07/01/2023,PICK ITI,1,charge-900,,VELLAGO
07/01/2023,PPC-EN,9,500,4500,MILAN
07/01/2023,EN-PPC,3,500,1500,FRENDZ
07/01/2023,EN-PPC,4,500,2000,MILAN
07/01/2023,PPC-EN,3,500,1500,WE GO TRAVEL AND TOURS
07/01/2023,PPC-EN,2,PRIVATE,2000,VELLAGO
07/01/2023,PPC-EN,5,450,2250,FHERL 
07/01/2023,EN-PPC,2,500,1000,FRENDZ
07/01/2023,EN-PPC,2,500,1000,FRENDZ
07/01/2023,PICK ITI,1,450,450,FHERL TO TRIPI
07/01/2023,DROP ITI,4,1200,300,VELLAGO
07/01/2023,EN-PPC,1,500,500,FRENDZ
07/01/2023,MILAN,2,charge-900,,VELLAGO
07/01/2023,PPC-EN,2,1200,300,VELLAGO
07/01/2023,FRENDZ,2,500,1000,MILAN
07/01/2023,DROP ITI,6,500,3000,ROCK VIEW
07/01/2023,DROP ITI,2,PRIVATE,100,CORAZON TRAVEL AND TOURS
07/01/2023,PICK ITI,10,PRIVATE,1400,BAYVIEW
07/01/2023,EN-PPC,3,500,1500,DOUBLEGEM
07/01/2023,PICK ITI,2,1200,300,VELLAGO
07/01/2023,PPC-EN,6,500,3000,MILAN
07/01/2023,PPC-EN,6,500,3000,MILAN
07/01/2023,EN-PPC,2,1200,300,VELLAGO
07/01/2023,FRENDZ,3,450,1350,FHERL 
07/01/2023,PPC-EN,6,500,3000,MILAN
07/01/2023,EN-PPC,6,500,3000,CORAZON TRAVEL AND TOURS
08/01/2023,DROP ITI,2,1200,300,VELLAGO
08/01/2023,PPC-EN,4+1,500,2500,MILAN
08/01/2023,DROP ITI,2,PRIVATE,1000,BAYVIEW
08/01/2023,DROP ITI,2,PRIVATE,1000,ELNIDO BAYVIEW RESORT
08/01/2023,PPC-EN,3,500,1500,MILAN
08/01/2023,DROP ITI,7,PRIVATE,1000,MILAN
08/01/2023,EN-PPC,2,450,900,JHEOFREY TO FHERL
08/01/2023,PPC-EN,10,PRIVATE,5000,MILAN
08/01/2023,PPC-EN,2,PRIVATE,5000,CORAZON TRAVEL AND TOURS
08/01/2023,EN-PPC,7,PRIVATE,5500,CORAZON TRAVEL AND TOURS
08/01/2023,CARISSA,2,450,900,GFS TRAVELISTA
08/01/2023,MILAN,2,450,900,FHERL TO TRIPI
08/01/2023,PICK ITI,2,1200,300,VELLAGO
08/01/2023,PPC-EN,14,PRIVATE,6000,MILAN
08/01/2023,PPC-EN,2,500,1000,MILAN
08/01/2023,EN-PPC,2,500,1000,MILAN
08/01/2023,EN-PPC,7+1,PRIVATE,5000,MILAN
08/01/2023,EN-PPC,2,1200,300,VELLAGO
08/01/2023,PPC-EN,5,500,2500,MILAN
08/01/2023,EN-PPC,7,500,3500,CORAZON TRAVEL AND TOURS
08/01/2023,EN-PPC,2,7000,2000,VELLAGO
08/01/2023,EN-PPC,10,PRIVATE,5000,MILAN
08/01/2023,PPC-EN,4,500,2000,MILAN
08/01/2023,EN-PPC,2,500,1000,BAYVIEW
08/01/2023,EN-PPC,1,500,500,FRENDZ
08/01/2023,PICK ITI,2,1200,300,VELLAGO
08/01/2023,PICK ITI,2,1200,300,VELLAGO
08/01/2023,FRENDZ,1,450,450,JUN PORT
08/01/2023,EN-PPC,11+2,PRIVATE,6000,MILAN
08/01/2023,PPC-EN,2,500,1000,MILAN
08/01/2023,EN-PPC,3,500,1500,MILAN
08/01/2023,EN-PPC,3,500,1500,MILAN
08/01/2023,EN-PPC,1,500,500,FRENDZ
08/01/2023,PPC-EN,5,500,2500,MILAN
08/01/2023,EN-PPC,6,500,3000,MILAN
08/01/2023,EN-PPC,3,500,1500,CORAZON TRAVEL AND TOURS
08/01/2023,MILAN,5,450,2250,FHERL
08/01/2023,EN-PPC,5,500,2500,FRENDZ
08/01/2023,PPC-EN,5,500,2500,MILAN
08/01/2023,PPC-EN,3,500,1500,MILAN
08/01/2023,PICK ITI,2,PRIVATE,1000,MILAN
08/01/2023,PPC-EN,5,500,2500,MILAN
08/01/2023,EN-PPC,18,500,9000,MILAN
08/01/2023,EN-PPC,2,PRIVATE,5000,DOUBLEGEM
08/01/2023,DROP ITI,2,1200,300,VELLAGO
08/01/2023,EN-PPC,4,500,2000,MILAN
08/01/2023,EN-PPC,3+1,500,2000,MILAN
08/01/2023,EN-PPC,3,500,1500,MILAN
08/01/2023,EN-PPC,2,500,1000,MILAN
08/01/2023,PPC-EN,7+1,500,3500,THUMPS UP
08/01/2023,PPC-EN,2,500,1000,MILAN
08/01/2023,EN-PPC,2,1200,300,VELLAGO
08/01/2023,PPC-EN,2,500,1000,MILAN
08/01/2023,PICK ITI,4,PRIVATE,1000,CORAZON TRAVEL AND TOURS
08/01/2023,MILAN,2,450,900,FHERL TO TRIPI
08/01/2023,DROP ITI,2,1200,300,VELLAGO
08/01/2023,DROP ITI,8,PRIVATE,1000,MILAN
08/01/2023,EN-PPC,2,500,1000,MILAN
08/01/2023,PICK ITI,2,450,900,FHERL TO TRIPI
08/01/2023,EN-PPC,2,PRIVATE,5000,MILAN
